# Prop layout for Level 01.
#
# Written by Dikdik > Save Prop Layout. Read back by every regeneration of
# this level, replacing the random scatter entirely.
#
# Delete this file to go back to procedural placement.
#
# model, posX, posY, posZ, eulerX, eulerY, eulerZ, scale, solid
rock_largeB, -20.073, 0, -16.861, 0, 236.71, 0, 5.586, 1
meteor, -13.377, 0, 3.035, 0, 231.28, 0, 2.905, 1
rock_largeA, -37.754, 0, -5.758, 0, 245.56, 0, 6.459, 1
rocks_smallA, 12.403, 0, -2.866, 0, 252.65, 0, 5.317, 1
rock, 36.1, 0, -18.156, 0, 287.26, 0, 4.028, 1
rock_largeA, -26.483, 0, 39.004, 0, 319.13, 0, 5.792, 1
rocks_smallB, 12.34, 0, 35.99, 0, 357.08, 0, 2.554, 1
rock, 24.637, 0, 44.627, 0, 189.09, 0, 4.558, 1
rocks_smallB, -18.168, 0, 55.375, 0, 156.36, 0, 4.046, 1
rock_largeB, 18.98, 0, 36.06, 0, 127.25, 0, 3.478, 1
rock_largeB, 10.132, 0, -12.053, 0, 142.25, 0, 5.267, 1
rock, -27.391, 0, 52.182, 0, 175.7, 0, 6.395, 1
rock, 11.218, 0, -22.003, 0, 31.02, 0, 3.359, 1
rock_largeA, -15.092, 0, 18.899, 0, 315.3, 0, 6.492, 1
rock, 23.785, 0, -7.793, 0, 154.43, 0, 3.216, 1
rocks_smallB, 36.488, 0, 6.806, 0, 44.12, 0, 6.291, 1
rock, -8.506, 0, 0.516, 0, 129.68, 0, 4.378, 1
rock, -8.905, 0, 4.581, 0, 301.17, 0, 4.974, 1
rock, 28.593, 0, 37.564, 0, 319.05, 0, 2.605, 1
rock_largeB, -21.9, 0, 45.621, 0, 44.08, 0, 3.702, 1
rock_largeB, -29.842, 0, 4.454, 0, 200.64, 0, 3.975, 1
rock_largeA, -15.542, 0, -20.438, 0, 158.1, 0, 3.551, 1
rock, 20.412, 0, -11.333, 0, 358.55, 0, 5.904, 1
rocks_smallA, -14.54, 0, 54.644, 0, 251.74, 0, 5.918, 1
rocks_smallB, 35.345, 0, 18.282, 0, 6.97, 0, 3.145, 1
rock, -38.098, 0, -15.058, 0, 73.08, 0, 3.671, 1
rock_largeB, -33.323, 0, 49.99, 0, 358.51, 0, 5.801, 1
rocks_smallB, -30.295, 0, 43.189, 0, 19.51, 0, 6.149, 1
rocks_smallB, -14.523, 0, -9.483, 0, 30.1, 0, 3.217, 1
rock_largeA, 17.01, 0, 16.08, 0, 204.54, 0, 2.622, 1
rocks_smallA, -20.643, 0, -7.869, 0, 65.04, 0, 4.905, 1
rock_largeA, 19.33, 0, 28.93, 0, 192.56, 0, 3.897, 1
meteor, -26.028, 0, 55.497, 0, 128.21, 0, 2.739, 1
rock_largeA, 26.121, 0, 31.453, 0, 314.92, 0, 5.921, 1
rocks_smallB, -10.218, 0, -2.373, 0, 137.12, 0, 5.702, 1
rocks_smallA, 19.143, 0, 39.266, 0, 121.84, 0, 2.811, 1
rock, -8.952, 0, 47.528, 0, 346.02, 0, 5.398, 1
meteor, 28.908, 0, -1.052, 0, 147.72, 0, 5.078, 1
rock_largeB, -12.909, 0, 17.685, 0, 316.64, 0, 4.009, 1
rocks_smallB, -14.028, 0, 0.704, 0, 92.37, 0, 5.793, 1
rock_largeB, 38.355, 0, 0.609, 0, 34.56, 0, 3.122, 1
rocks_smallB, 36.14, 0, 13.475, 0, 158.93, 0, 3.381, 1
rock_largeA, 23.125, 0, -11.758, 0, 53.55, 0, 2.544, 1
rock, -17.436, 0, 52.003, 0, 178.13, 0, 2.894, 1
rocks_smallB, 9.828, 0, 41.861, 0, 157.11, 0, 4.28, 1
satelliteDish, -16, 0, 3.834, 0, 40, 0, 5, 0
hangar_smallA, 30.38, 0, 25.99, 0, 240, 0, 6, 0
rocket_baseA, 24, 0, -6, 0, 0, 0, 5, 0
